data_id	编号
id	系统编码
name	姓名
sex	性别
courtesy_name	字
pseudonym	号
used_name	曾用名
father_id	父亲
mother_id	母亲编号
partner_id	配偶
shi	世
rank	辈份
rank_family	家庭排行
address	住址
era	朝代
birth	公历出生日期
china_birth	农历出生日期
death_date	公历过世日期
china_death	农历过世日期
yearsLived	享年
grave	葬于
education	文化程度
school	毕业院校
work_unit	工作单位
occupation	职业
duty	职务（官职）
briefBiography	简介
originalFamily	祖籍
birthPlace	出生地
ethnicity	民族
posthumousTitle	谥号
description	其他描述
phone	联系电话
email	电子邮箱
son_id	儿子
daughter_id	女儿
birth	出生日期
death_date	过世日期
son_name	儿子姓名
daughter_name	女儿姓名
